,Motif_ID,Motif_Symbol,AtID,Source
1574,SRS_tnt.SRS7_colamp_a_m1,SRS7,AT1G19790,DAPv1
1575,TCP_tnt.At1g69690_col_a_m1,At1g69690,AT1G69690,DAPv1
1576,TCP_tnt.At1g69690_colamp_a_m1,At1g69690,AT1G69690,DAPv1
1577,TCP_tnt.At1g72010_col_m1,At1g72010,AT1G72010,DAPv1
1578,TCP_tnt.At1g72010_colamp_a_m1,At1g72010,AT1G72010,DAPv1
1579,TCP_tnt.At2g45680_col_b_m1,At2g45680,AT2G45680,DAPv1
1580,TCP_tnt.At2g45680_colamp_a_m1,At2g45680,AT2G45680,DAPv1
1581,TCP_tnt.At5g08330_col_a_m1,At5g08330,AT5G08330,DAPv1
1582,TCP_tnt.At5g08330_colamp_a_m1,At5g08330,AT5G08330,DAPv1
1583,TCP_tnt.PTF1_col_a_m1,PTF1,AT3G02150,DAPv1
1584,TCP_tnt.PTF1_colamp_a_m1,PTF1,AT3G02150,DAPv1
1585,TCP_tnt.TCP14_col_b_m1,TCP14,AT3G47620,DAPv1
1586,TCP_tnt.TCP16_col_a_m1,TCP16,AT3G45150,DAPv1
1587,TCP_tnt.TCP16_colamp_a_m1,TCP16,AT3G45150,DAPv1
1588,TCP_tnt.TCP17_col_a_m1,TCP17,AT5G08070,DAPv1
1589,TCP_tnt.TCP17_colamp_a_m1,TCP17,AT5G08070,DAPv1
1590,TCP_tnt.TCP1_col_a_m1,TCP1,AT1G67260,DAPv1
1591,TCP_tnt.TCP20_col_a_m1,TCP20,AT3G27010,DAPv1
1592,TCP_tnt.TCP20_colamp_a_m1,TCP20,AT3G27010,DAPv1
1593,TCP_tnt.TCP24_col_m1,TCP24,AT1G30210,DAPv1
1594,TCP_tnt.TCP24_colamp_a_m1,TCP24,AT1G30210,DAPv1
1595,TCP_tnt.TCP3_col_m1,TCP3,AT1G53230,DAPv1
1596,TCP_tnt.TCP3_colamp_a_m1,TCP3,AT1G53230,DAPv1
1597,TCP_tnt.TCP7_col_a_m1,TCP7,AT5G23280,DAPv1
1598,Trihelix_tnt.AT1G76870_col_b_m1,AT1G76870,AT1G76870,DAPv1
1599,Trihelix_tnt.AT1G76880_col_a_m1,AT1G76880,AT1G76880,DAPv1
1600,Trihelix_tnt.AT2G33550_col_a_m1,AT2G33550,AT2G33550,DAPv1
1601,Trihelix_tnt.AT2G33550_colamp_a_m1,AT2G33550,AT2G33550,DAPv1
1602,Trihelix_tnt.AT3G10030_col_a_m1,AT3G10030,AT3G10030,DAPv1
1603,Trihelix_tnt.AT3G10030_colamp_a_m1,AT3G10030,AT3G10030,DAPv1
1604,Trihelix_tnt.AT3G25990_col_a_m1,AT3G25990,AT3G25990,DAPv1
1605,Trihelix_tnt.AT3G25990_colamp_a_m1,AT3G25990,AT3G25990,DAPv1
1606,Trihelix_tnt.AT3G58630_col_a_m1,AT3G58630,AT3G58630,DAPv1
1607,Trihelix_tnt.AT3G58630_colamp_a_m1,AT3G58630,AT3G58630,DAPv1
1608,Trihelix_tnt.AT5G05550_col_a_m1,AT5G05550,AT5G05550,DAPv1
1609,Trihelix_tnt.AT5G05550_colamp_a_m1,AT5G05550,AT5G05550,DAPv1
1610,Trihelix_tnt.AT5G47660_col_a_m1,AT5G47660,AT5G47660,DAPv1
1611,Trihelix_tnt.AT5G47660_colamp_a_m1,AT5G47660,AT5G47660,DAPv1
1612,Trihelix_tnt.At3g14180_col_m1,At3g14180,AT3G14180,DAPv1
1613,Trihelix_tnt.GT1_col_a_m1,GT1,AT1G13450,DAPv1
1614,Trihelix_tnt.GT2_col_a_m1,GT2,AT1G76890,DAPv1
1615,Trihelix_tnt.GT2_colamp_a_m1,GT2,AT1G76890,DAPv1
1616,Trihelix_tnt.GT3a_col_a_m1,GT3a,AT5G01380,DAPv1
1617,Trihelix_tnt.GTL1_col_a_m1,GTL1,AT1G33240,DAPv1
1618,Trihelix_tnt.GTL1_colamp_a_m1,GTL1,AT1G33240,DAPv1
1619,WRKY_tnt.WRKY11_col_a_m1,WRKY11,AT4G31550,DAPv1
1620,WRKY_tnt.WRKY14_col_a_m1,WRKY14,AT1G30650,DAPv1
1621,WRKY_tnt.WRKY14_colamp_a_m1,WRKY14,AT1G30650,DAPv1
1622,WRKY_tnt.WRKY15_col_b_m1,WRKY15,AT2G23320,DAPv1
1623,WRKY_tnt.WRKY15_colamp_a_m1,WRKY15,AT2G23320,DAPv1
1624,WRKY_tnt.WRKY17_col_a_m1,WRKY17,AT2G24570,DAPv1
1625,WRKY_tnt.WRKY17_colamp_a_m1,WRKY17,AT2G24570,DAPv1
1626,WRKY_tnt.WRKY18_col_a_m1,WRKY18,AT4G31800,DAPv1
1627,WRKY_tnt.WRKY18_colamp_a_m1,WRKY18,AT4G31800,DAPv1
1628,WRKY_tnt.WRKY20_col_a_m1,WRKY20,AT4G26640,DAPv1
1629,WRKY_tnt.WRKY21_col_m1,WRKY21,AT2G30590,DAPv1
1630,WRKY_tnt.WRKY21_colamp_a_m1,WRKY21,AT2G30590,DAPv1
1631,WRKY_tnt.WRKY22_col_m1,WRKY22,AT4G01250,DAPv1
1632,WRKY_tnt.WRKY22_colamp_a_m1,WRKY22,AT4G01250,DAPv1
1633,WRKY_tnt.WRKY24_col_a_m1,WRKY24,AT5G41570,DAPv1
1634,WRKY_tnt.WRKY24_colamp_a_m1,WRKY24,AT5G41570,DAPv1
1635,WRKY_tnt.WRKY25_col_a_m1,WRKY25,AT2G30250,DAPv1
1636,WRKY_tnt.WRKY25_colamp_a_m1,WRKY25,AT2G30250,DAPv1
1637,WRKY_tnt.WRKY26_col_a_m1,WRKY26,AT5G07100,DAPv1
1638,WRKY_tnt.WRKY26_colamp_a_m1,WRKY26,AT5G07100,DAPv1
1639,WRKY_tnt.WRKY27_col_a_m1,WRKY27,AT5G52830,DAPv1
1640,WRKY_tnt.WRKY27_colamp_a_m1,WRKY27,AT5G52830,DAPv1
1641,WRKY_tnt.WRKY28_col_a_m1,WRKY28,AT4G18170,DAPv1
1642,WRKY_tnt.WRKY28_colamp_a_m1,WRKY28,AT4G18170,DAPv1
1643,WRKY_tnt.WRKY29_col_a_m1,WRKY29,AT4G23550,DAPv1
1644,WRKY_tnt.WRKY29_colamp_a_m1,WRKY29,AT4G23550,DAPv1
1645,WRKY_tnt.WRKY30_col_a_m1,WRKY30,AT5G24110,DAPv1
1646,WRKY_tnt.WRKY30_colamp_a_m1,WRKY30,AT5G24110,DAPv1
1647,WRKY_tnt.WRKY31_col_a_m1,WRKY31,AT4G22070,DAPv1
1648,WRKY_tnt.WRKY31_colamp_a_m1,WRKY31,AT4G22070,DAPv1
1649,WRKY_tnt.WRKY33_col_a_m1,WRKY33,AT2G38470,DAPv1
1650,WRKY_tnt.WRKY3_col_a_m1,WRKY3,AT2G03340,DAPv1
1651,WRKY_tnt.WRKY40_col_m1,WRKY40,AT1G80840,DAPv1
1652,WRKY_tnt.WRKY40_colamp_a_m1,WRKY40,AT1G80840,DAPv1
1653,WRKY_tnt.WRKY42_col_a_m1,WRKY42,AT4G04450,DAPv1
1654,WRKY_tnt.WRKY42_colamp_a_m1,WRKY42,AT4G04450,DAPv1
1655,WRKY_tnt.WRKY43_col_a_m1,WRKY43,AT2G46130,DAPv1
