AT_ID,gene_name,Family,Protein,Expression_System,DNA_Source,Reads,Peaks,FRiP,DAP_ID,CisBP_ID,CisBP_Status,FZ_ID,FZ_Status,Transfac_ID,Transfac_Status,Jaspar_ID,Jaspar_Status
AT2G28920,,ND,AT2G28920,tnt,col,1672780,1869,3.34,ND_tnt.AT2G28920_col_a,,,,,,,,
AT4G38170,FRS9,ND,FRS9,tnt,col,1358657,3662,14.3,ND_tnt.FRS9_col_a,,,,,,,,
AT1G20640,AtNLP4,NLP,AtNLP4,tnt,col,1550666,486,0.727,NLP_tnt.AtNLP4_col_b,,,,,,,,
AT1G23810,,Orphan,AT1G23810,tnt,col,1114149,427,1.65,Orphan_tnt.AT1G23810_col_a,,,,,,,,
AT1G24250,,Orphan,AT1G24250,tnt,col,598723,2233,10.5,Orphan_tnt.AT1G24250_col_a,,,,,,,,
AT3G21890,BBX31,Orphan,BBX31,tnt,col,2221756,16775,32.6,Orphan_tnt.BBX31_col_a,,,,,,,,
AT2G01818,,PLATZ,AT2G01818,tnt,col,1770177,1483,2.58,PLATZ_tnt.AT2G01818_col_a,,,,,,,,
AT1G13260,RAV1,RAV,RAV1,tnt,col,3412301,11829,30.3,RAV_tnt.RAV1_col,M0077_1.02,D,,,M2866_1.02,D,M2375_1.02,D
AT1G49480,"REM19,RTV1",REM,REM19,tnt,col,2844798,17545,26.9,REM_tnt.REM19_col_a,,,,,,,,
AT2G31460,,REM(B3),AT2G31460,tnt,col,946759,179,1.02,REMB3_tnt.AT2G31460_col_a,,,,,,,,
AT4G24020,NLP7,RWP-RK,NLP7,tnt,col,482802,867,16.2,RWPRK_tnt.NLP7_col_a,,,,,,,,
AT1G74480,AtRKD2,RWP-RK,RKD2,tnt,col,240964,1002,10.6,RWPRK_tnt.RKD2_col_a,,,,,,,,
AT3G09735,,S1Fa-like,AT3G09735,tnt,col,4950210,7818,50.6,S1Falike_tnt.AT3G09735_col_a,,,,,,,,
AT2G47070,SPL1,SBP,SPL1,tnt,col,5298734,4570,59.1,SBP_tnt.SPL1_col_a,M1566_1.02,I,SPL1,D,,,,
AT1G27360,SPL11,SBP,SPL11,tnt,col,617437,497,0.986,SBP_tnt.SPL11_col100_a,M1562_1.02,D,,,,,,
AT5G50670,SPL13,SBP,SPL13,tnt,col,1514087,1179,7.49,SBP_tnt.SPL13_col_a,M1569_1.02,I,,,,,,
AT1G20980,"ATSPL14,FBR6,SPL14,SPL1R2",SBP,SPL14,tnt,col,682636,2529,31,SBP_tnt.SPL14_col_a,M1561_1.02,D,,,M2876_1.02,D,M2379_1.02,D
AT3G57920,SPL15,SBP,SPL15,tnt,col,1468148,328,0.771,SBP_tnt.SPL15_col_a,M1569_1.02,I,,,,,,
AT2G33810,SPL3,SBP,SPL3,tnt,col,2195551,194,0.383,SBP_tnt.SPL3_col_a,,,,,,,M2370_1.02,D
AT3G15270,SPL5,SBP,SPL5,tnt,col,612807,4992,26.8,SBP_tnt.SPL5_col_a,M1565_1.02,D,,,,,,
AT2G42200,SPL9,SBP,SPL9,tnt,col,919077,20844,61.8,SBP_tnt.SPL9_col_a,M1569_1.02,I,,,,,,
AT1G19790,SRS7,SRS,SRS7,tnt,col,283402,469,2.27,SRS_tnt.SRS7_col_a,,,,,,,,
AT1G69690,,TCP,At1g69690,tnt,col,978803,995,7.22,TCP_tnt.At1g69690_col_a,,,TCP15,D,M2887_1.02,D,,
AT1G72010,,TCP,At1g72010,tnt,col,716298,2290,23,TCP_tnt.At1g72010_col,,,,,M2887_1.02,I,,
AT2G45680,,TCP,At2g45680,tnt,col,2229608,450,7.02,TCP_tnt.At2g45680_col_b,M1656_1.02,I,,,,,,
AT5G08330,,TCP,At5g08330,tnt,col,760509,2915,35.5,TCP_tnt.At5g08330_col_a,M1657_1.02,I,,,,,,
AT3G02150,"PTF1,TCP13,TFPD",TCP,PTF1,tnt,col,2528596,185,1.94,TCP_tnt.PTF1_col_a,M1663_1.02,I,,,,,,
AT1G67260,TCP1,TCP,TCP1,tnt,col,1682303,173,0.435,TCP_tnt.TCP1_col_a,M1644_1.02,I,,,,,,
AT3G47620,AtTCP14,TCP,TCP14,tnt,col,3248888,177,0.471,TCP_tnt.TCP14_col_b,,,,,M2854_1.02,I,,
AT3G45150,TCP16,TCP,TCP16,tnt,col,1298740,107,0.475,TCP_tnt.TCP16_col_a,,,,,,,M2380_1.02,D
AT5G08070,TCP17,TCP,TCP17,tnt,col,316727,147,0.924,TCP_tnt.TCP17_col_a,M1655_1.02,I,,,,,,
AT3G27010,"AT-TCP20,PCF1,TCP20",TCP,TCP20,tnt,col,766399,1167,38.8,TCP_tnt.TCP20_col_a,M1647_1.02,D,,,M2888_1.02,D,,
AT1G30210,"ATTCP24,TCP24",TCP,TCP24,tnt,col,4448292,3352,11.8,TCP_tnt.TCP24_col,M1644_1.02,D,,,,,,
AT1G53230,TCP3,TCP,TCP3,tnt,col,4077864,1416,8.57,TCP_tnt.TCP3_col,M1645_1.02,D,,,,,,
AT5G23280,TCP7,TCP,TCP7,tnt,col,693500,1002,32.6,TCP_tnt.TCP7_col_a,M1657_1.02,I,,,,,,
AT1G76870,,Trihelix,AT1G76870,tnt,col,969187,456,1.41,Trihelix_tnt.AT1G76870_col_b,,,,,,,,
AT1G76880,,Trihelix,AT1G76880,tnt,col,326184,491,5.94,Trihelix_tnt.AT1G76880_col_a,,,,,,,,
AT2G33550,,Trihelix,AT2G33550,tnt,col,2160602,377,1.16,Trihelix_tnt.AT2G33550_col_a,,,,,,,,
AT3G10030,,Trihelix,AT3G10030,tnt,col,468398,968,32.4,Trihelix_tnt.AT3G10030_col_a,,,,,,,,
AT3G25990,,Trihelix,AT3G25990,tnt,col,2231299,124,1.78,Trihelix_tnt.AT3G25990_col_a,M1277_1.02,D,,,,,,
AT3G58630,,Trihelix,AT3G58630,tnt,col,1659043,616,3.05,Trihelix_tnt.AT3G58630_col_a,,,,,,,,
AT5G05550,,Trihelix,AT5G05550,tnt,col,5101198,10510,33.9,Trihelix_tnt.AT5G05550_col_a,,,,,,,,
AT5G47660,,Trihelix,AT5G47660,tnt,col,2639861,277,0.778,Trihelix_tnt.AT5G47660_col_a,M1278_1.02,D,,,,,,
AT3G14180,,Trihelix,At3g14180,tnt,col,3447905,6618,25.1,Trihelix_tnt.At3g14180_col,,,,,,,,
AT1G13450,GT-1,Trihelix,GT1,tnt,col,1567804,521,10.8,Trihelix_tnt.GT1_col_a,M1276_1.02,D,,,M2769_1.02,D,,
AT1G76890,GT2,Trihelix,GT2,tnt,col,1143716,9430,37.4,Trihelix_tnt.GT2_col_a,,,,,,,,
AT5G01380,GT-3a,Trihelix,GT3a,tnt,col,1131897,1320,5.95,Trihelix_tnt.GT3a_col_a,,,,,,,,
AT1G33240,"AT-GTL1,AT-GTL2",Trihelix,GTL1,tnt,col,852313,12164,43,Trihelix_tnt.GTL1_col_a,,,,,,,,
AT4G31550,WRKY11,WRKY,WRKY11,tnt,col,685123,1208,4.38,WRKY_tnt.WRKY11_col_a,M1693_1.02,D,,,M2911_1.02,D,,
AT1G30650,"AR411,WRKY14",WRKY,WRKY14,tnt,col,2637127,4679,20.4,WRKY_tnt.WRKY14_col_a,M1678_1.02,D,,,,,,
AT2G23320,WRKY15,WRKY,WRKY15,tnt,col,3952519,22672,50.6,WRKY_tnt.WRKY15_col_b,M1682_1.02,D,,,,,,
AT2G24570,WRKY17,WRKY,WRKY17,tnt,col,765395,142,0.404,WRKY_tnt.WRKY17_col_a,M1683_1.02,D,,,,,,
AT4G31800,WRKY18,WRKY,WRKY18,tnt,col,1248335,18456,48,WRKY_tnt.WRKY18_col_a,M1694_1.02,D,WRKY18,D,M2912_1.02,D,,
AT4G26640,WRKY20,WRKY,WRKY20,tnt,col,936437,2213,11,WRKY_tnt.WRKY20_col_a,M1701_1.02,I,,,,,,
AT2G30590,WRKY21,WRKY,WRKY21,tnt,col,6073285,1537,7.17,WRKY_tnt.WRKY21_col,M1686_1.02,D,,,,,,
AT4G01250,WRKY22,WRKY,WRKY22,tnt,col,4685979,22769,61.8,WRKY_tnt.WRKY22_col,M1690_1.02,D,,,,,,
AT5G41570,WRKY24,WRKY,WRKY24,tnt,col,2506102,7303,19.5,WRKY_tnt.WRKY24_col_a,M1696_1.02,I,,,,,,
AT2G30250,WRKY25,WRKY,WRKY25,tnt,col,1294692,5826,25.2,WRKY_tnt.WRKY25_col_a,M1685_1.02,D,,,,,,
AT5G07100,WRKY26,WRKY,WRKY26,tnt,col,233418,95,0.844,WRKY_tnt.WRKY26_col_a,,,,,M2875_1.02,I,,
AT5G52830,WRKY27,WRKY,WRKY27,tnt,col,2982687,2857,12.4,WRKY_tnt.WRKY27_col_a,M1700_1.02,D,,,,,,
AT4G18170,WRKY28,WRKY,WRKY28,tnt,col,4972594,13501,43.8,WRKY_tnt.WRKY28_col_a,M1698_1.02,I,,,,,,
AT4G23550,WRKY29,WRKY,WRKY29,tnt,col,1883374,2794,11.3,WRKY_tnt.WRKY29_col_a,M1692_1.02,D,,,,,,
AT2G03340,WRKY3,WRKY,WRKY3,tnt,col,591513,1287,20,WRKY_tnt.WRKY3_col_a,M1701_1.02,I,,,,,,
AT5G24110,WRKY30,WRKY,WRKY30,tnt,col,2483179,856,3.4,WRKY_tnt.WRKY30_col_a,M1697_1.02,D,,,,,,
AT4G22070,WRKY31,WRKY,WRKY31,tnt,col,623899,272,4.64,WRKY_tnt.WRKY31_col_a,M1691_1.02,I,,,,,,
AT2G38470,WRKY33,WRKY,WRKY33,tnt,col,3586012,5593,33.7,WRKY_tnt.WRKY33_col_a,M1687_1.02,D,,,,,,
AT1G80840,WRKY40,WRKY,WRKY40,tnt,col,5093726,7114,10.5,WRKY_tnt.WRKY40_col,M1681_1.02,D,,,,,,
AT4G04450,WRKY42,WRKY,WRKY42,tnt,col,865995,335,4.14,WRKY_tnt.WRKY42_col_a,M1691_1.02,I,,,,,,
AT2G46130,WRKY43,WRKY,WRKY43,tnt,col,799889,910,2.26,WRKY_tnt.WRKY43_col_a,M1688_1.02,D,,,,,,
AT3G01970,WRKY45,WRKY,WRKY45,tnt,col,7021350,10276,39,WRKY_tnt.WRKY45_col_a,M1696_1.02,I,WRKY45,D,,,,
AT2G46400,WRKY46,WRKY,WRKY46,tnt,col,96485,26,0.629,WRKY_tnt.WRKY46_col_a,M1697_1.02,I,,,,,,
AT4G01720,WRKY47,WRKY,WRKY47,tnt,col,1581027,101,0.718,WRKY_tnt.WRKY47_col_a,M1691_1.02,D,,,,,,
AT5G26170,WRKY50,WRKY,WRKY50,tnt,col,1837548,13630,32.6,WRKY_tnt.WRKY50_col_a,M1702_1.02,I,,,,,,
AT2G40740,WRKY55,WRKY,WRKY55,tnt,col,1048498,9034,46.6,WRKY_tnt.WRKY55_col_a,M1697_1.02,I,,,,,,
AT2G21900,WRKY59,WRKY,WRKY59,tnt,col,886938,222,1.58,WRKY_tnt.WRKY59_col_a,M1689_1.02,I,,,,,,
AT1G62300,WRKY6,WRKY,WRKY6,tnt,col,138899,293,4.89,WRKY_tnt.WRKY6_col_a,M1691_1.02,I,,,,,,
AT1G29280,WRKY65,WRKY,WRKY65,tnt,col,729438,8935,29.6,WRKY_tnt.WRKY65_col_a,M1678_1.02,I,,,,,,
AT4G24240,WRKY7,WRKY,WRKY7,tnt,col,3862551,1926,5.46,WRKY_tnt.WRKY7_col,M1682_1.02,I,,,,,,
AT3G56400,WRKY70,WRKY,WRKY70,tnt,col,1870702,8244,29.9,WRKY_tnt.WRKY70_col,M1697_1.02,I,,,,,,
AT1G29860,WRKY71,WRKY,WRKY71,tnt,col,3398091,9533,55.6,WRKY_tnt.WRKY71_col_a,M1698_1.02,I,,,,,,
AT5G13080,WRKY75,WRKY,WRKY75,tnt,col,4331171,19311,38.5,WRKY_tnt.WRKY75_col_a,M1696_1.02,D,,,,,,
AT5G46350,WRKY8,WRKY,WRKY8,tnt,col,4906670,20544,46.2,WRKY_tnt.WRKY8_col,M1698_1.02,D,,,,,,
AT5G39760,AtHB23,ZF-HD,ATHB23,tnt,col,3590118,27922,56,ZFHD_tnt.ATHB23_col_b,,,,,,,,
AT2G18350,AtHB24,ZF-HD,ATHB24,tnt,col,2975946,4870,10.8,ZFHD_tnt.ATHB24_col_a,,,,,,,,
AT5G65410,"ATHB25,ZFHD2",ZF-HD,ATHB25,tnt,col,3025623,25748,63.7,ZFHD_tnt.ATHB25_col_a,,,,,,,,
AT1G75240,"AtHB33,AtHB33",ZF-HD,ATHB33,tnt,col,6026180,20104,53.5,ZFHD_tnt.ATHB33_col_a,,,,,,,,
AT3G28920,AtHB34,ZF-HD,ATHB34,tnt,col,1779425,7200,20,ZFHD_tnt.ATHB34_col_a,,,,,,,,
AT1G14687,"AtHB32,AtHB32",ZF-HD,AtHB32,tnt,col,1809228,21104,45.9,ZFHD_tnt.AtHB32_col200_a,,,,,,,,
AT5G08130,"AtbHLH46,BIM1",bHLH,BIM1,tnt,col,812544,647,6.66,bHLH_tnt.BIM1_col_a,M0163_1.02,D,,,M2672_1.02,D,,
AT1G69010,"AtbHLH102,BIM2",bHLH,BIM2,tnt,col,17818287,14595,83,bHLH_tnt.BIM2_col_v3b,M0154_1.02,D,,,,,,
AT5G38860,"AtbHLH141,BIM3",bHLH,BIM3,tnt,col,263224,156,2.26,bHLH_tnt.BIM3_col_a,M0164_1.02,D,,,,,,
AT5G61270,"AtbHLH72,PIF7",bHLH,PIF7,tnt,col,677903,136,0.431,bHLH_tnt.PIF7_col_a,M0158_1.02,I,,,,,,
AT2G31220,AtbHLH10,bHLH,bHLH10,tnt,col,468178,976,12.7,bHLH_tnt.bHLH10_col_a,,,,,M2638_1.02,I,,
AT4G14410,AtbHLH104,bHLH,bHLH104,tnt,col,668799,137,0.822,bHLH_tnt.bHLH104_col_b,M0159_1.02,D,,,,,,
AT1G51140,AtbHLH122,bHLH,bHLH122,tnt,col,697702,10050,28.8,bHLH_tnt.bHLH122_col100_a,M0229_1.02,I,,,,,,
AT2G42280,AtbHLH130,bHLH,bHLH130,tnt,col,423561,198,2.9,bHLH_tnt.bHLH130_col_a,M0229_1.02,I,,,,,,
AT1G64625,AtbHLH157,bHLH,bHLH157,tnt,col,413567,525,1.24,bHLH_tnt.bHLH157_col_a,,,,,,,,
AT2G22750,AtbHLH18,bHLH,bHLH18,tnt,col,910798,265,0.676,bHLH_tnt.bHLH18_col_a,,,,,M2671_1.02,I,,
AT5G46830,AtbHLH28,bHLH,bHLH28,tnt,col,1811182,8905,61.4,bHLH_tnt.bHLH28_col_a,M0149_1.02,I,,,,,,
AT1G59640,"AtbHLH31,BPE,BPEP,BPEUB,ZCW32",bHLH,bHLH31,tnt,col,1415755,1829,6.03,bHLH_tnt.bHLH31_col,M0153_1.02,D,,,,,,
AT3G23210,AtbHLH34,bHLH,bHLH34,tnt,col,3982100,827,3.11,bHLH_tnt.bHLH34_col,M0157_1.02,D,,,,,,
AT2G18300,AtbHLH64,bHLH,bHLH64,tnt,col,757705,116,0.332,bHLH_tnt.bHLH64_col_a,M0155_1.02,D,,,,,,
AT4G30980,AtbHLH69,bHLH,bHLH69,tnt,col,75852,41,0.629,bHLH_tnt.bHLH69_col_a,M0250_1.02,I,,,,,,
AT1G10120,AtbHLH74,bHLH,bHLH74,tnt,col,632575,214,2.93,bHLH_tnt.bHLH74_col_a,M0252_1.02,I,,,,,,
AT3G23690,AtbHLH77,bHLH,bHLH77,tnt,col,912543,126,0.64,bHLH_tnt.bHLH77_col_a,M0252_1.02,I,,,,,,
AT1G35460,AtbHLH80,bHLH,bHLH80,tnt,col,663548,5667,11.9,bHLH_tnt.bHLH80_col_a,M0229_1.02,I,,,,,,
AT1G45249,,bZIP,ABF2,tnt,col,1253341,2299,10.8,bZIP_tnt.ABF2_col_v3a,M0256_1.02,D,,,,,,
AT2G36270,,bZIP,ABI5,tnt,col,5998876,4855,23.4,bZIP_tnt.ABI5_col_v3h,M0261_1.02,D,,,M2604_1.02,D,,
AT3G56850,,bZIP,AREB3,tnt,col,422618,4617,42,bZIP_tnt.AREB3_col_v31,,,,,M2902_1.02,I,,
AT2G46270,,bZIP,GBF3,tnt,col,1187726,6267,37.2,bZIP_tnt.GBF3_col,M0264_1.02,D,,,,,,
AT2G18160,,bZIP,GBF5,tnt,col,1040190,2445,8.68,bZIP_tnt.GBF5_col_v3a,,,,,,,,
AT4G34590,,bZIP,GBF6,tnt,col,3329292,9894,40.8,bZIP_tnt.GBF6_col,,,,,,,,
AT5G65210,,bZIP,TGA1,tnt,col,1128133,4089,28.5,bZIP_tnt.TGA1_col,M0273_1.02,D,,,,,M2381_1.02,D
AT5G06839,"bZIP65,TGA10",bZIP,TGA10,tnt,col,27473,681,58.9,bZIP_tnt.TGA10_col_a,M0265_1.02,I,,,,,,
AT5G06950,,bZIP,TGA2,tnt,col,5189654,2334,23.5,bZIP_tnt.TGA2_col,M0269_1.02,D,TGA2,D,M2895_1.02,D,,
AT1G22070,,bZIP,TGA3,tnt,col,6886787,3451,24.9,bZIP_tnt.TGA3_col,,,,,M2897_1.02,D,,
AT5G10030,"OBF4, OBF4/TGA4, TGA4",bZIP,TGA4,tnt,col,368312,4001,24.5,bZIP_tnt.TGA4_col_a,M0271_1.02,D,,,,,,
AT5G06960,,bZIP,TGA5,tnt,col,4886023,2604,49.7,bZIP_tnt.TGA5_col_v3a,M0270_1.02,D,,,,,,
AT3G12250,"BZIP45, TGA6",bZIP,TGA6,tnt,col,4586989,13532,66,bZIP_tnt.TGA6_col_a,M0265_1.02,D,,,,,,
AT1G08320,"bZIP21,TGA9",bZIP,TGA9,tnt,col,6726861,4355,52.1,bZIP_tnt.TGA9_col_a,M0265_1.02,I,,,,,,
AT1G43700,,bZIP,VIP1,tnt,col,2016554,1523,6.67,bZIP_tnt.VIP1_col_v3a,,,,,,,,
AT2G35530,,bZIP,bZIP16,tnt,col,1119908,1740,7.55,bZIP_tnt.bZIP16_col_v3a,M0255_1.02,I,,,,,,
AT2G40620,,bZIP,bZIP18,tnt,col,1708137,4101,17,bZIP_tnt.bZIP18_col_v31,M0262_1.02,D,,,,,,
AT3G10800,BZIP28,bZIP,bZIP28,tnt,col,1941525,1726,18.3,bZIP_tnt.bZIP28_col_a,,,,,,,,
AT5G15830,AtbZIP3,bZIP,bZIP3,tnt,col,4747288,8295,73,bZIP_tnt.bZIP3_col_a,,,,,,,,
AT3G30530,ATBZIP42,bZIP,bZIP42,tnt,col,1382615,131,0.473,bZIP_tnt.bZIP42_col_a,,,,,,,,
AT5G38800,AtbZIP43,bZIP,bZIP43,tnt,col,1641502,68,0.308,bZIP_tnt.bZIP43_col_a,,,,,,,,
AT1G75390,,bZIP,bZIP44,tnt,col,2450973,2679,7.03,bZIP_tnt.bZIP44_col,,,,,,,M1921_1.02,I
AT2G04038,AtbZIP48,bZIP,bZIP48,tnt,col,1939573,876,8.98,bZIP_tnt.bZIP48_col_a,,,,,,,,
AT1G77920,,bZIP,bZIP50,tnt,col,1745956,3729,30.2,bZIP_tnt.bZIP50_col_v31,M0259_1.02,D,,,,,,
AT1G06850,,bZIP,bZIP52,tnt,col,1022907,5443,29.5,bZIP_tnt.bZIP52_col_v31,,,,,,,,
AT3G62420,,bZIP,bZIP53,tnt,col,5489642,7103,45.8,bZIP_tnt.bZIP53_col,,,,,M2605_1.02,I,,
AT1G32150,bZIP68,bZIP,bZIP68,tnt,col,6313148,9044,70.7,bZIP_tnt.bZIP68_col_a,M0255_1.02,D,,,,,,
AT1G06070,bZIP69,bZIP,bZIP69,tnt,col,2169951,244,1.08,bZIP_tnt.bZIP69_col_a,M0262_1.02,I,,,,,,
AT5G11260,,bZIP,HY5,tnt,col,,,,bZIP_tnt.HY5_col_v3a,,,,,,,,
AT5G23930,,mTERF,AT5G23930,tnt,col,1559882,5551,36.8,mTERF_tnt.AT5G23930_col_a,,,,,,,,
AT3G42860,,zf-GRF,AT3G42860,tnt,col,1346485,2415,24.9,zfGRF_tnt.AT3G42860_col_a,,,,,,,,
